alarm_id,alarm_name,alarm_text,alarm_code,ce_on,ce_off,description
-110209,,Marking platform Camera_Response timeout-Please confirm,,,,打标平台 相机_响应超时请确认
-110210,,Printer_Response timeout-Please confirm,,,,打标机_响应超时请确认
-110211,,Marking platform MES_Response timeout-Please confirm,,,,打标平台 MES_响应超时请确认
-110212,,Electronic scale_Response timeout-Please confirm,,,,电子秤_响应超时请确认
-110302,,Dispensing cache station MES_Feedback abnormal-Please confirm,,,,点胶缓存工位MES_反馈信号状态异常-请确认
-110303,,Dispensing working position MES_Feedback abnormal-Please confirm,,,,点胶工作位 MES_反馈信号状态异常请确认
-110304,,Dispensing working position Camera_Feedback abnormal-Please confirm,,,,点胶工作位 相机_反馈信号状态异常请确认
-110305,,Dispensing working position 3D_Feedback abnormal-Please confirm,,,,点胶工作位 线扫_反馈信号状态异常请确认
-110306,,Assembly working position MES_Feedback abnormal-Please confirm,,,,装配工作位 MES_反馈信号状态异常请确认
-110307,,Assembly working position Top Camera_Feedback abnormal-Please confirm,,,,装配工作位 顶部相机_反馈信号状态异常请确认
-110308,,Assembly working position Bottom Camera_Feedback abnormal-Please confirm,,,,装配工作位 底部相机_反馈信号状态异常请确认
-110309,,Marking platform Camera_Feedback abnormal-Please confirm,,,,打标平台 相机_反馈信号状态异常请确认
-110310,,Printer_Feedback abnormal-Please confirm,,,,打标机_反馈信号状态异常-请确认
-110312,,Electronic scale_Feedback abnormal-Please confirm,,,,电子秤_反馈信号状态异常请确认
-110401,,Dispensing working position Line sweep the glue track_Result NG-Please confirm,,,,点胶工作位 线扫胶水轨迹_结果NG请确认
-110407,,ROBOT Camera_Result NG-Please confirm,,,,ROBOT 相机拍照_结果NG请确认
-110408,,Marking platform cylinder_Abnormal sensor-Please confirm,,,,打标平台夹具_传感器检测异常-请确认
-110409,,Outer box cache area_Abnormal sensor-Please confirm,,,,外框暂存区_传感器检测异常-请确认
-110410,,Dispensing NG platform_Abnormal sensor-Please confirm,,,,点胶NG平台_传感器检测异常-请确认
-110411,,Left transplanting platform_Abnormal sensor-Please confirm,,,,左侧移栽平台_传感器检测异常-请确认
-110412,,Right transplanting platform_Abnormal sensor-Please confirm,,,,右侧移栽平台_传感器检测异常-请确认
-110413,,Jaws of the outer frame_Abnormal sensor-Please confirm,,,,装配取外壳夹爪_传感器检测异常-请确认
-110414,,Clamping jaws of the base plate_Abnormal sensor-Please confirm,,,,装配取基板夹爪_传感器检测异常-请确认
-110501,,ROBOT System failure,,,,ROBOT系统故障
-110502,,ROBOT Camping jaw1 Manually confirm the availability of materials,,,,ROBOT 夹爪1 需人工确认有无物料
-110503,,ROBOT Camping jaw2 Manually confirm the availability of materials,,,,ROBOT 夹爪2 需人工确认有无物料
-110504,,The dispensing machine is faulty-Please confirm,,,,点胶机故障请确认
-110507,,Calibration error of dispensing needle-Please confirm,,,,点胶针头校准超差-请确认
-110508,,DWP MES The pallet information is Do not do -Please confirm,,,,点胶工作位 MES托盘信息为 不可做 -请确认
-110509,,DWP Placode1 MES The information is inconsistent with the sensor-Please check the sensor,,,,点胶工作位 基板1 MES状态信息与传感器检测不一致-请检查传感器
-110510,,DWP Placode2 MES The information is inconsistent with the sensor-Please check the sensor,,,,点胶工作位 基板2 MES状态信息与传感器检测不一致-请检查传感器
-110511,,DWP Placode3 MES The information is inconsistent with the sensor-Please check the sensor,,,,点胶工作位 基板3 MES状态信息与传感器检测不一致-请检查传感器
-110512,,DCWB Placode1 Abnormal sensor-Please check the sensor,,,,点胶缓存工作位 基板1检测传感器异常-请检查传感器
-110513,,DCWB Placode2 Abnormal sensor-Please check the sensor,,,,点胶缓存工作位 基板2检测传感器异常-请检查传感器
-110514,,DCWB Placode3 Abnormal sensor-Please check the sensor,,,,点胶缓存工作位 基板3检测传感器异常-请检查传感器
-110515,,AWP MES The pallet information is Do not do -Please confirm,,,,装配工作位 MES托盘信息为 不可做 -请确认
-110600,,AWP Placode1 MES The information is inconsistent with the sensor-Please check the sensor,,,,装配工作位 基板1 MES状态信息与传感器检测不一致-请检查传感器
-110601,,AWP Placode2 MES The information is inconsistent with the sensor-Please check the sensor,,,,装配工作位 基板2 MES状态信息与传感器检测不一致-请检查传感器
-110602,,AWP Placode3 MES The information is inconsistent with the sensor-Please check the sensor,,,,装配工作位 基板3 MES状态信息与传感器检测不一致-请检查传感器
-110606,,Tray vacuum suction anomaly-Please check the sensor,,,,Tray盘吸气检测异常请检查
-110607,,Tray NOK products exist-Please take away,,,,Tray盘内存在NOK产品请取走
-110608,,Tray Go up to the lift platform timeout-Please check B606&B607,,,,Tray盘上料到达升降平台超时-请检查B606&B607
-110609,,Tray Feeding servo reaches height limit position-Please check B601,,,,Tray盘上料伺服到达限高位置-请检查B601
-110610,,Tray Feeding detected Tray being lifted-Please confirm,,,,Tray盘上料检测到Tray盘被带起-请确认
-110611,,Serial port server port 2 is disconnected,,,,串口服务器端口2连接中断
-110612,,There is no vehicle number matching the preloaded pallet on the transplanting platform,,,,移栽平台上没有与预装配托盘相匹配的载具号
-110613,,Jaws of the outer frame The product information is inconsistent with the Placode,,,,装配模组取外框夹爪产品信息与基板信息不匹配(本地)
-110614,,DCWB MES The pallet information is Do not do -Please confirm,,,,点胶缓存工作位 MES托盘信息为 不可做 -请确认
-110615,,Jaws of the outer frame The product information is inconsistent with the Placode,,,,装配模组取外框夹爪产品状态与基板状态不一致
-110700,,Clamping jaws of the base plate The product information is inconsistent with the Placode,,,,装配模组取基板夹爪产品状态与基板状态不一致
-110701,,Both jaws of the assembly module are in the state-Please confirm,,,,装配模组两个夹爪均存在状态-请确认
-110702,,AWP Jaws of the outer frame SN inconsistent with the scan results-Please confirm,,,,装配工作位 外框 夹爪条码与扫码结果不一致-请确认
-110703,,Left transplanting platform Placode it is not all taken-Please check,,,,左侧移栽平台上基板未被全部取走信息错误-请检查
-110704,,Right transplanting platform Placode it is not all taken-Please check,,,,右侧移栽平台上基板未被全部取走信息错误-请检查
-110705,,AWP Pallet SN inconsistent with queue SN-Please check,,,,装配工位实际托盘号与队列托盘号不一致-请检查
-110707,,3D Result judgment timeout-Please confirm,,,,测胶线扫结果判断超时请确认
-110710,,Marking platform Camera locate NG-Please confirm,,,,打标顶部相机定位NG请确认
-110711,,Marking platform Camera Grade NG-Please confirm,,,,打标顶部相机等级NG请确认
-110712,,Bottom Camera locate NG-Please confirm,,,,装配底部相机外框定位NG请确认
-110713,,Top Camera locate NG-Please confirm,,,,装配顶部相机基板定位NG请确认
-210001,,Low pressure fault-Please check,,,,气压低故障-请检查
-210003,,Recipe data not written-Please check,,,,配方数据未写入-请检查
-210005,,Grating abnormal-Please check,,,,光栅异常-请检查
-210006,,The emergency stop circuit is faulty-Please check,,,,急停回路故障-请检查
-210007,,The safety door loop is faulty-Please check,,,,安全门回路故障-请检查
-210101,,Bin1_Inconsistent material and account alarm-Please confirm,,,,加热仓1_料账不一致报警-请确认
-210102,,Bin2_Inconsistent material and account alarm-Please confirm,,,,加热仓2_料账不一致报警-请确认
-210103,,Bin3_Inconsistent material and account alarm-Please confirm,,,,加热仓3_料账不一致报警-请确认
-210104,,Bin4_Inconsistent material and account alarm-Please confirm,,,,加热仓4_料账不一致报警-请确认
-210105,,Bin5_Inconsistent material and account alarm-Please confirm,,,,加热仓5_料账不一致报警-请确认
-210106,,Bin6_Inconsistent material and account alarm-Please confirm,,,,加热仓6_料账不一致报警-请确认
-210107,,Bin7_Inconsistent material and account alarm-Please confirm,,,,加热仓7_料账不一致报警-请确认
-210108,,Transplanting platform _Inconsistent material and account alarm-Please confirm,,,,移栽平台_料账不一致报警-请确认
-210200,,B841_Mainstream line scanner_Response timeout-Please confirm,,,,B841_主流线扫码枪_响应超时-请确认
-210201,,A871_Temperature controller_Response timeout-Please confirm,,,,A871_温控器_响应超时-请确认
-210202,,A872_Temperature controller_Response timeout-Please confirm,,,,A872_温控器_响应超时-请确认
-210203,,A873_Temperature controller_Response timeout-Please confirm,,,,A873_温控器_响应超时-请确认
-210204,,A874_Temperature controller_Response timeout-Please confirm,,,,A874_温控器_响应超时-请确认
-210205,,A875_Temperature controller_Response timeout-Please confirm,,,,A875_温控器_响应超时-请确认
-210206,,A876_Temperature controller_Response timeout-Please confirm,,,,A876_温控器_响应超时-请确认
-210207,,A877_Temperature controller_Response timeout-Please confirm,,,,A877_温控器_响应超时-请确认
-210208,,Stock bin1 MES_Response timeout-Please confirm,,,,料仓1 MES_响应超时-请确认
-210209,,Stock bin2 MES_Response timeout-Please confirm,,,,料仓2 MES_响应超时-请确认
-210210,,Stock bin3 MES_Response timeout-Please confirm,,,,料仓3 MES_响应超时-请确认
-210211,,Stock bin4 MES_Response timeout-Please confirm,,,,料仓4 MES_响应超时-请确认
-210212,,Stock bin5 MES_Response timeout-Please confirm,,,,料仓5 MES_响应超时-请确认
-210213,,Stock bin6 MES_Response timeout-Please confirm,,,,料仓6 MES_响应超时-请确认
-210214,,Stock bin7 MES_Response timeout-Please confirm,,,,料仓7 MES_响应超时-请确认
-210215,,Transplanting platform _MES_Response timeout-Please confirm,,,,移栽平台MES_响应超时-请确认
-210300,,Cooling station_MES_Response timeout-Please confirm,,,,冷却工位MES_反馈信号状态异常-请确认
-210308,,Stock bin1 MES_Abnormal feedback status-Please confirm,,,,料仓1 MES_反馈信号状态异常-请确认
-210309,,Stock bin2 MES_Abnormal feedback status-Please confirm,,,,料仓2 MES_反馈信号状态异常-请确认
-210310,,Stock bin3 MES_Abnormal feedback status-Please confirm,,,,料仓3 MES_反馈信号状态异常-请确认
-210311,,Stock bin4 MES_Abnormal feedback status-Please confirm,,,,料仓4 MES_反馈信号状态异常-请确认
-210312,,Stock bin5 MES_Abnormal feedback status-Please confirm,,,,料仓5 MES_反馈信号状态异常-请确认
-210313,,Stock bin6 MES_Abnormal feedback status-Please confirm,,,,料仓6 MES_反馈信号状态异常-请确认
-210314,,Stock bin7 MES_Abnormal feedback status-Please confirm,,,,料仓7 MES_反馈信号状态异常-请确认
-210315,,Transplanting platform MES_Abnormal feedback status-Please confirm,,,,移栽平台MES_反馈信号状态异常-请确认
-210509,,Transplanting platformMES The pallet information is Do not do -Please confirm,,,,移栽平台 MES托盘信息为 不可做 -请确认
-210510,,Bin Feed timeout alarm-Please confirm,,,,加热仓 进料超时报警-请确认
-210511,,Bin Discharge time out alarm-Please confirm,,,,加热仓 出料超时报警-请确认
-210513,,Cooling station_MES_Response timeout-Please confirm,,,,冷却工位MES_响应超时-请确认
-210601,,Stock bin1 Abnormal thermocouple of thermostat-Please check,,,,料仓1 温控器热电偶异常-请检查
-210602,,Stock bin2 Abnormal thermocouple of thermostat-Please check,,,,料仓2 温控器热电偶异常-请检查
-210603,,Stock bin3 Abnormal thermocouple of thermostat-Please check,,,,料仓3 温控器热电偶异常-请检查
-210604,,Stock bin4 Abnormal thermocouple of thermostat-Please check,,,,料仓4 温控器热电偶异常-请检查
-210605,,Stock bin5 Abnormal thermocouple of thermostat-Please check,,,,料仓5 温控器热电偶异常-请检查
-210606,,Stock bin6 Abnormal thermocouple of thermostat-Please check,,,,料仓6 温控器热电偶异常-请检查
-210607,,Stock bin7 Abnormal thermocouple of thermostat-Please check,,,,料仓7 温控器热电偶异常-请检查
-210700,,Scanner results inconsistent with the upstream pallet SN-Please confirm,,,,扫码枪解码结果与上游来料托盘码不一致-请确认
-210613,,Stock bin6 The heating time exceeds the setting time-Please confirm,,,,料仓6 加热时间超过设置时间请确认
-210614,,Stock bin7 The heating time exceeds the setting time-Please confirm,,,,料仓7 加热时间超过设置时间请确认
